position(base)	genetic_distance(centiMorgan)
45250488	45.2505
45280930	45.2809
45289998	45.29
45382076	45.3821
45382998	45.383
45411742	45.4117
45413247	45.4132
45450237	45.4502
45457676	45.4577
45459737	45.4597
45463699	45.4637
45492707	45.4927
45497470	45.4975
45517917	45.5179
45533658	45.5337
45544616	45.5446
45562806	45.5628
45567113	45.5671
45580558	45.5806
45589948	45.5899
45676650	45.6767
45724875	45.7249
45728334	45.7283
45735330	45.7353
45804591	45.8046
45804852	45.8049
45813401	45.8134
45834175	45.8342
45865400	45.8654
45900344	45.9003
45960801	45.9608
46011514	46.0115
46036533	46.0365
46072503	46.0725
46122244	46.1222
46204550	46.2045
46211292	46.2113
46242468	46.2425
46263692	46.2637
46275630	46.2756
46308249	46.3082
46323509	46.3235
46332376	46.3324
46377607	46.3776
46390378	46.3904
46392600	46.3926
46471938	46.4719
46482801	46.4828
46487706	46.4877
46526479	46.5265
46572228	46.5722
46617032	46.617
46667668	46.6677
46684751	46.6848
46705680	46.7057
46707293	46.7073
46760711	46.7607
46784694	46.7847
46792900	46.7929
46822293	46.8223
46827669	46.8277
46860169	46.8602
46912782	46.9128
46940592	46.9406
46950930	46.9509
46973283	46.9733
46973405	46.9734
47007265	47.0073
47044339	47.0443
47050410	47.0504
47119684	47.1197
47129217	47.1292
47256848	47.2568
47379273	47.3793
47408421	47.4084
47424328	47.4243
47471306	47.4713
47477747	47.4777
47478080	47.4781
47513046	47.513
47542029	47.542
47567153	47.5672
47570696	47.5707
47612251	47.6123
47612990	47.613
47678761	47.6788
47743738	47.7437
47768239	47.7682
47769427	47.7694
47945280	47.9453
47959533	47.9595
48032510	48.0325
48067192	48.0672
48088974	48.089
48109993	48.11
48121059	48.1211
48137090	48.1371
48190251	48.1903
48241750	48.2418
48246974	48.247
48253273	48.2533
48324979	48.325
48342242	48.3422
48343269	48.3433
48377867	48.3779
48454995	48.455
48457607	48.4576
48462031	48.462
48476488	48.4765
48479156	48.4792
48546341	48.5463
48557910	48.5579
48558755	48.5588
48563077	48.5631
48637226	48.6372
48694516	48.6945
48794677	48.7947
48800853	48.8009
48811684	48.8117
48868954	48.869
48883614	48.8836
48952807	48.9528
48984905	48.9849
49054341	49.0543
49075721	49.0757
49098039	49.098
49101680	49.1017
49168996	49.169
49179592	49.1796
49183995	49.184
49229080	49.2291
49241933	49.2419
49277083	49.2771
49286800	49.2868
49316029	49.316
49351921	49.3519
49474722	49.4747
49478754	49.4788
49482054	49.4821
49487873	49.4879
49510628	49.5106
49537560	49.5376
49550530	49.5505
49582261	49.5823
49582359	49.5824
49585396	49.5854
49655862	49.6559
49686389	49.6864
49693921	49.6939
49713802	49.7138
49716119	49.7161
49747952	49.748
49799692	49.7997
49844316	49.8443
49863923	49.8639
49953345	49.9533
50036152	50.0362
50055345	50.0553
50062577	50.0626
50087055	50.0871
50118610	50.1186
50121217	50.1212
50121416	50.1214
50238944	50.2389
50251414	50.2514
50261283	50.2613
50262360	50.2624
50305768	50.3058
50316997	50.317
50320775	50.3208
50387981	50.388
50401851	50.4019
50455729	50.4557
50511309	50.5113
50536213	50.5362
50572319	50.5723
50573500	50.5735
50605519	50.6055
50625968	50.626
50653407	50.6534
50656950	50.657
50665988	50.666
50666204	50.6662
50715217	50.7152
50739233	50.7392
50747050	50.7471
50748985	50.749
50752191	50.7522
50761243	50.7612
50825931	50.8259
50836501	50.8365
50848831	50.8488
50917405	50.9174
50989124	50.9891
51005774	51.0058
51009498	51.0095
51013384	51.0134
51143436	51.1434
51153167	51.1532
51198060	51.1981
51203171	51.2032
51231346	51.2313
51234380	51.2344
51250074	51.2501
51252179	51.2522
51266881	51.2669
51281731	51.2817
51288365	51.2884
51299647	51.2996
51305129	51.3051
51314131	51.3141
51321706	51.3217
51348927	51.3489
51351526	51.3515
51353955	51.354
51354791	51.3548
51385793	51.3858
51454575	51.4546
51471694	51.4717
51501022	51.501
51524214	51.5242
51551476	51.5515
51576967	51.577
51595396	51.5954
51721911	51.7219
51837579	51.8376
51899809	51.8998
51920246	51.9202
51941286	51.9413
51959584	51.9596
51980000	51.98
51983317	51.9833
51984390	51.9844
52002387	52.0024
52020919	52.0209
52025972	52.026
52037489	52.0375
52038223	52.0382
52042514	52.0425
52044383	52.0444
52123468	52.1235
52167050	52.1671
52220767	52.2208
52224758	52.2248
52258087	52.2581
52263312	52.2633
52293561	52.2936
52368543	52.3685
52371247	52.3712
52423980	52.424
52460447	52.4604
52506509	52.5065
52507494	52.5075
52511564	52.5116
52516610	52.5166
52523540	52.5235
52616791	52.6168
52643183	52.6432
52652011	52.652
52680264	52.6803
52715067	52.7151
52767297	52.7673
52770858	52.7709
52813477	52.8135
52821339	52.8213
52836402	52.8364
52848307	52.8483
52866318	52.8663
52871961	52.872
52906786	52.9068
52907630	52.9076
52913783	52.9138
52972172	52.9722
52973269	52.9733
52986831	52.9868
53012804	53.0128
53032335	53.0323
53113352	53.1134
53122053	53.1221
53198201	53.1982
53230022	53.23
53235824	53.2358
53362583	53.3626
53375139	53.3751
53399144	53.3991
53415343	53.4153
53418853	53.4189
53493495	53.4935
53522202	53.5222
53529184	53.5292
53529604	53.5296
53530560	53.5306
53551103	53.5511
53575904	53.5759
53611607	53.6116
53647600	53.6476
53658857	53.6589
53757971	53.758
53788636	53.7886
53789259	53.7893
53825930	53.8259
53847425	53.8474
53855324	53.8553
53926270	53.9263
53956000	53.956
53991950	53.992
54025914	54.0259
54111424	54.1114
54132873	54.1329
54190906	54.1909
54220238	54.2202
54234357	54.2344
54238970	54.239
54272766	54.2728
54286777	54.2868
54294146	54.2941
54340792	54.3408
54344867	54.3449
54414932	54.4149
54423968	54.424
54475760	54.4758
54490961	54.491
54569901	54.5699
54570709	54.5707
54629081	54.6291
54654416	54.6544
54671561	54.6716
54679514	54.6795
54686844	54.6868
54723396	54.7234
54748185	54.7482
54776676	54.7767
54793077	54.7931
54798174	54.7982
54802432	54.8024
55273841	55.2738
55275258	55.2753
55351475	55.3515
55362250	55.3623
55384646	55.3846
55388626	55.3886
55394416	55.3944
55401068	55.4011
55409323	55.4093
55418478	55.4185
55429051	55.4291
55434740	55.4347
55491325	55.4913
55636068	55.6361
55637583	55.6376
55644678	55.6447
55650230	55.6502
55654623	55.6546
55655954	55.656
55661608	55.6616
55661609	55.6616
55663094	55.6631
55676929	55.6769
55677489	55.6775
55680626	55.6806
55711383	55.7114
55714117	55.7141
55763558	55.7636
55826670	55.8267
55844949	55.8449
55855114	55.8551
55878566	55.8786
55925336	55.9253
55927565	55.9276
55929696	55.9297
55940442	55.9404
56015410	56.0154
56112610	56.1126
56150403	56.1504
56156710	56.1567
56170797	56.1708
56198740	56.1987
56233022	56.233
56249293	56.2493
56280966	56.281
56291620	56.2916
56299302	56.2993
56311465	56.3115
56320014	56.32
56324158	56.3242
56335768	56.3358
56343634	56.3436
56357667	56.3577
56413820	56.4138
56424231	56.4242
56444442	56.4444
56513742	56.5137
56522681	56.5227
56583784	56.5838
56595666	56.5957
56620332	56.6203
56622407	56.6224
56634757	56.6348
56660918	56.6609
56723795	56.7238
56748190	56.7482
56753022	56.753
56788544	56.7885
56803577	56.8036
56865154	56.8652
56881646	56.8816
56938495	56.9385
56940463	56.9405
56961192	56.9612
56969660	56.9697
56997890	56.9979
57003676	57.0037
57005356	57.0054
57005391	57.0054
57008140	57.0081
57009742	57.0097
57054971	57.055
57081496	57.0815
57102249	57.1022
57103358	57.1034
57133597	57.1336
57138469	57.1385
57142922	57.1429
57181973	57.182
57189288	57.1893
57197143	57.1971
57265800	57.2658
57342044	57.342
57343321	57.3433
57380039	57.38
57382715	57.3827
57392482	57.3925
57543550	57.5435
57620267	57.6203
57641018	57.641
57648880	57.6489
57699973	57.7
57715283	57.7153
57717011	57.717
57718718	57.7187
57733301	57.7333
57754592	57.7546
57757885	57.7579
57767020	57.767
57800708	57.8007
57932966	57.933
57987095	57.9871
58030203	58.0302
58034332	58.0343
58068591	58.0686
58135607	58.1356
58147278	58.1473
58152051	58.1521
58178417	58.1784
58202523	58.2025
58222334	58.2223
58245279	58.2453
58251367	58.2514
58275811	58.2758
58298944	58.2989
58331051	58.3311
58340298	58.3403
58357592	58.3576
58376858	58.3769
58385607	58.3856
58425640	58.4256
58483697	58.4837
58564210	58.5642
58588655	58.5887
58600228	58.6002
58617919	58.6179
58631236	58.6312
58663793	58.6638
58743630	58.7436
58762130	58.7621
58763664	58.7637
58769584	58.7696
58792958	58.793
58857951	58.858
58863566	58.8636
58916861	58.9169
58924374	58.9244
58945404	58.9454
58963641	58.9636
58984195	58.9842
59053628	59.0536
59057764	59.0578
59079822	59.0798
59084744	59.0847
59114465	59.1145
59115398	59.1154
59151925	59.1519
59171665	59.1717
59182381	59.1824
59184339	59.1843
59204063	59.2041
59205213	59.2052
59207601	59.2076
59235088	59.2351
59251740	59.2517
59255591	59.2556
59258011	59.258
59261362	59.2614
59264930	59.2649
59526060	59.5261
59579574	59.5796
59609489	59.6095
59612483	59.6125
59614279	59.6143
59627845	59.6278
59689867	59.6899
59757008	59.757
59770732	59.7707
59770758	59.7708
59806364	59.8064
59825192	59.8252
59829323	59.8293
59852994	59.853
59869519	59.8695
59892539	59.8925
59994321	59.9943
59999437	59.9994
